subject,gender,itemnumber,a,b,c
Math,Female,1,0.394957686,-1.551792969,0.217073721
Math,Female,2,1.301342055,0.043065452,0.235853749
Math,Female,3,1.148484339,-1.815571633,0.238675187
Math,Female,4,0.988725002,0.957452998,0.235626341
Math,Female,5,0.480029732,0.601638076,0.285795207
Math,Female,6,0.684146608,-1.190942601,0.271954416
Math,Female,7,1.348066471,-1.256005961,0.225751482
Math,Female,8,1.029457773,-0.320316034,0.235647578
Math,Female,9,1.468492786,-2.702978198,0.240808588
Math,Female,10,1.317632618,1.001770333,0.179217353
Math,Female,11,1.537802232,1.122894937,0.293149513
Math,Female,12,0.954234824,-0.257900221,0.260295153
Math,Female,13,1.108457756,0.359485605,0.194316571
Math,Female,14,0.76786674,1.108710058,0.221958355
Math,Female,15,1.127536787,0.064366198,0.202004386
Math,Female,16,1.322605499,-1.308326966,0.25430183
Math,Female,17,1.447706463,-0.319898171,0.252168625
Math,Female,18,1.011676685,0.61699569,0.249554283
Math,Female,19,1.357705772,-1.749652365,0.247956272
Math,Female,20,1.420587893,0.911301708,0.238121406
Math,Female,21,1.34200237,-0.430625714,0.236340229
Math,Female,22,0.922952212,0.620606857,0.267773887
Math,Female,23,1.454898217,2.514993862,0.222673337
Math,Female,24,1.591653455,1.540199992,0.244231396
Math,Female,25,1.098878227,-0.882055022,0.229106642
Math,Female,26,0.6992208,0.578429219,0.240923863
Math,Female,27,0.529139995,0.245761053,0.22189707
Math,Female,28,0.957456394,-0.300499573,0.28819148
Math,Female,29,1.261979396,-1.137031613,0.231263588
Math,Female,30,0.948138848,0.883799049,0.216560682
Math,Female,31,1.03922095,-0.047008264,0.172505016
Math,Female,32,1.302184376,0.446879608,0.230158783
Math,Female,33,1.134778105,1.120084637,0.315986796
Math,Female,34,0.992585912,0.842210131,0.262502514
Math,Female,35,1.038947516,0.310719195,0.178822819
Math,Female,36,1.116725791,-0.345156093,0.300766783
Math,Female,37,0.833932929,1.097609673,0.179234738
Math,Female,38,0.378866708,1.071655208,0.249103902
Math,Female,39,1.514621398,0.06260093,0.263048144
Math,Female,40,0.594083807,0.47618283,0.250183229
Math,Female,41,0.948737336,-0.168894485,0.218835979
Math,Female,42,1.462824531,-0.733238201,0.28048743
Math,Female,43,1.124035436,-0.23143783,0.204376786
Math,Female,44,1.328680392,1.052688994,0.252623802
Math,Female,45,0.732548979,0.284638194,0.258427996
Math,Female,46,0.888738588,-1.020791004,0.264417688
Math,Female,47,1.523557973,1.979249139,0.203748022
Math,Female,48,1.634664382,-2.025518849,0.218932949
Math,Female,49,0.634877977,1.004394501,0.300423759
Math,Female,50,1.868296424,-1.368867251,0.280273732
Math,Female,51,0.825268152,-0.399098991,0.283134697
Math,Female,52,0.717949332,1.006157108,0.209253846
Math,Female,53,0.64453777,-0.045834283,0.242397902
Math,Female,54,0.541183481,0.16462629,0.247636355
Math,Female,55,1.41616874,0.036140452,0.263703316
Math,Female,56,0.757283135,-0.096601611,0.230210283
Math,Female,57,1.183331355,0.441708601,0.209399892
Math,Female,58,1.491848365,0.573486234,0.228830848
Math,Female,59,0.779879923,-1.142712375,0.257652215
Math,Female,60,1.085242099,1.074076208,0.320134938
Math,Female,61,0.349476962,0.410957034,0.214679456
Math,Female,62,0.541825182,2.132045871,0.157370876
Math,Female,63,0.804618022,-0.297792189,0.240613095
Math,Female,64,0.894545206,1.442294335,0.256115376
Math,Female,65,1.243111692,-0.09385209,0.271045711
Math,Female,66,1.263063357,-1.885741952,0.239883225
Math,Female,67,0.939269056,-1.525029859,0.230700736
Math,Female,68,0.93085388,0.056876554,0.238608776
Math,Female,69,1.147216609,1.336719912,0.258114234
Math,Female,70,0.662675025,0.109685293,0.26404396
Math,Female,71,1.142187474,1.529163445,0.284040417
Math,Female,72,1.23574201,0.666765689,0.280955843
Math,Female,73,1.482251817,-1.738981077,0.230890028
Math,Female,74,1.507981026,2.201642697,0.239135569
Math,Female,75,1.450558202,0.864888238,0.285818364
Math,Female,76,0.486611596,1.190979092,0.298864696
Math,Female,77,1.29347353,1.225144655,0.287334917
Math,Female,78,0.863885616,-1.539019849,0.2771975
Math,Female,79,0.532868227,1.340491711,0.244642426
Math,Female,80,1.229964122,0.444410194,0.25757264
Math,Female,81,0.79493741,-0.942383037,0.244124606
Math,Female,82,1.257843126,0.701377875,0.220252002
Math,Female,83,1.184261229,0.46424033,0.23575312
Math,Female,84,1.225568071,-1.319115783,0.215618376
Math,Female,85,1.044498266,0.613760528,0.260714321
Math,Female,86,1.62759553,-3.368915912,0.278053363
Math,Female,87,1.399032662,-1.581388,0.225007377
Math,Female,88,0.577129196,1.139534048,0.194486965
Math,Female,89,0.789807083,-0.417496356,0.23376919
Math,Female,90,1.274608301,-0.656881146,0.253486645
Math,Female,91,1.413050022,-1.601933305,0.24798865
