"","theta1","item","prob"
"1",-5,"item_1",0.288580856483454
"2",-4.9,"item_1",0.289252238356517
"3",-4.8,"item_1",0.289997069168021
"4",-4.7,"item_1",0.290823202376114
"5",-4.6,"item_1",0.291739288949461
"6",-4.5,"item_1",0.292754848528733
"7",-4.4,"item_1",0.293880344604098
"8",-4.3,"item_1",0.295127263331537
"9",-4.2,"item_1",0.296508195409122
"10",-4.1,"item_1",0.298036920184392
"11",-4,"item_1",0.299728490858005
"12",-3.9,"item_1",0.301599319279119
"13",-3.8,"item_1",0.303667258386606
"14",-3.7,"item_1",0.305951679830503
"15",-3.6,"item_1",0.308473543704583
"16",-3.5,"item_1",0.31125545663139
"17",-3.4,"item_1",0.314321713667375
"18",-3.3,"item_1",0.317698318646586
"19",-3.2,"item_1",0.321412976673921
"20",-3.1,"item_1",0.325495051542672
"21",-3,"item_1",0.329975479930301
"22",-2.9,"item_1",0.334886633384133
"23",-2.8,"item_1",0.3402621184298
"24",-2.7,"item_1",0.346136504729217
"25",-2.6,"item_1",0.352544971216428
"26",-2.5,"item_1",0.359522860707872
"27",-2.4,"item_1",0.367105134796172
"28",-2.3,"item_1",0.375325723079649
"29",-2.2,"item_1",0.384216764130911
"30",-2.1,"item_1",0.393807740211216
"31",-2,"item_1",0.404124513671488
"32",-1.9,"item_1",0.415188280219961
"33",-1.8,"item_1",0.42701446260784
"34",-1.7,"item_1",0.43961157742944
"35",-1.6,"item_1",0.452980117078204
"36",-1.5,"item_1",0.467111497649508
"37",-1.4,"item_1",0.481987130743675
"38",-1.3,"item_1",0.497577681579848
"39",-1.2,"item_1",0.513842576453295
"40",-1.1,"item_1",0.530729818373508
"41",-1,"item_1",0.548176160059708
"42",-0.899999999999999,"item_1",0.566107668214346
"43",-0.8,"item_1",0.584440692677947
"44",-0.7,"item_1",0.603083229952541
"45",-0.6,"item_1",0.621936644606957
"46",-0.5,"item_1",0.640897686685794
"47",-0.399999999999999,"item_1",0.659860721077248
"48",-0.3,"item_1",0.678720068326307
"49",-0.199999999999999,"item_1",0.697372347531903
"50",-0.0999999999999996,"item_1",0.715718711799988
"51",0,"item_1",0.733666875259196
"52",0.100000000000001,"item_1",0.751132846858346
"53",0.2,"item_1",0.768042308159914
"54",0.300000000000001,"item_1",0.784331597661912
"55",0.4,"item_1",0.799948290179037
"56",0.5,"item_1",0.814851384038818
"57",0.600000000000001,"item_1",0.829011129335868
"58",0.7,"item_1",0.842408545947625
"59",0.800000000000001,"item_1",0.855034689887416
"60",0.9,"item_1",0.866889730962215
"61",1,"item_1",0.877981904245247
"62",1.1,"item_1",0.888326393540475
"63",1.2,"item_1",0.897944197934382
"64",1.3,"item_1",0.906861023821634
"65",1.4,"item_1",0.915106235452863
"66",1.5,"item_1",0.922711887888496
"67",1.6,"item_1",0.929711857834284
"68",1.7,"item_1",0.936141080548387
"69",1.8,"item_1",0.942034895025411
"70",1.9,"item_1",0.947428495010308
"71",2,"item_1",0.952356479999199
"72",2.1,"item_1",0.95685249810251
"73",2.2,"item_1",0.960948971301668
"74",2.3,"item_1",0.964676893037733
"75",2.4,"item_1",0.968065688050528
"76",2.5,"item_1",0.971143124780125
"77",2.6,"item_1",0.973935271313326
"78",2.7,"item_1",0.976466486695541
"79",2.8,"item_1",0.978759440347581
"80",2.9,"item_1",0.980835153263507
"81",3,"item_1",0.982713055574785
"82",3.1,"item_1",0.984411055917771
"83",3.2,"item_1",0.985945618818295
"84",3.3,"item_1",0.987331846999881
"85",3.4,"item_1",0.988583566128854
"86",3.5,"item_1",0.989713410032388
"87",3.6,"item_1",0.990732904869697
"88",3.7,"item_1",0.991652551108858
"89",3.8,"item_1",0.992481902469968
"90",3.9,"item_1",0.993229641247306
"91",4,"item_1",0.993903649626512
"92",4.1,"item_1",0.994511076774838
"93",4.2,"item_1",0.995058401609529
"94",4.3,"item_1",0.995551491247495
"95",4.4,"item_1",0.995995655213401
"96",4.5,"item_1",0.996395695537816
"97",4.6,"item_1",0.996755952915677
"98",4.7,"item_1",0.99708034912134
"99",4.8,"item_1",0.997372425892464
"100",4.9,"item_1",0.99763538050319
"101",5,"item_1",0.997872098249248
"102",-5,"item_5",0.346860706444369
"103",-4.9,"item_5",0.350668197488254
"104",-4.8,"item_5",0.35459354854091
"105",-4.7,"item_5",0.35863862516303
"106",-4.6,"item_5",0.362805186737691
"107",-4.5,"item_5",0.367094875047311
"108",-4.4,"item_5",0.371509202547781
"109",-4.3,"item_5",0.376049540386875
"110",-4.2,"item_5",0.380717106220579
"111",-4.1,"item_5",0.385512951887633
"112",-4,"item_5",0.390437951009277
"113",-3.9,"item_5",0.395492786587854
"114",-3.8,"item_5",0.400677938684386
"115",-3.7,"item_5",0.40599367226151
